,,Privaciones Municipios,,,,,,,,,,,,,,
ID,Municipio,Analfabetismo,Bajo logro educativo,Barreras a servicios para cuidado de la primera infancia,Barreras de acceso a servicios de salud,Tasa de dependencia,Hacinamiento crítico,Inadecuada eliminación de excretas,Inasistencia escolar,Material inadecuado de paredes exteriores,Material inadecuado de pisos,Rezago escolar,Sin acceso a fuente de agua mejorada,Sin aseguramiento en salud,Trabajo infantil,Trabajo informal
13042,ARENAL,22.5,73.0,3.1,18.0,59.2,21.3,35.1,7.8,5.7,24.6,25.2,17.9,13.3,1.8,93.2
13052,ARJONA,22.4,55.5,2.4,6.8,42.3,24.1,79.8,4.9,5.1,13.2,20.2,17.2,14.7,0.7,87.8
13062,ARROYOHONDO,37.1,74.7,3.0,5.6,46.7,28.6,57.0,6.3,1.5,20.6,29.5,39.8,23.6,1.9,94.9
13074,BARRANCO DE LOBA,31.8,75.4,4.3,4.2,51.8,21.6,69.1,7.4,8.3,45.9,32.1,28.0,18.6,2.1,93.7
13140,CALAMAR,29.7,66.7,2.5,2.3,50.0,27.5,75.8,5.2,3.0,17.4,21.6,44.3,16.5,0.6,94.0
13160,CANTAGALLO,20.9,65.5,2.6,7.5,48.3,18.9,33.1,6.2,8.1,28.7,23.1,28.0,15.6,2.5,86.0
13188,CICUCO,29.7,69.3,2.2,12.6,49.5,26.6,78.1,6.5,3.7,28.5,28.2,5.3,14.7,1.5,91.1
13212,CÓRDOBA,41.0,74.1,2.1,13.1,48.2,18.3,44.5,3.7,1.3,34.3,20.2,27.6,12.0,1.3,95.5
13222,CLEMENCIA,24.5,60.4,3.0,1.6,55.6,29.3,91.4,6.3,17.0,29.9,19.3,86.6,19.8,0.8,90.1
13244,EL CARMEN DE BOLÍVAR,29.1,64.6,2.2,6.8,41.1,26.6,88.7,5.0,7.7,36.7,17.2,25.4,12.0,1.4,93.6
13248,EL GUAMO,36.7,75.9,2.3,5.7,45.4,16.9,62.5,3.3,1.2,23.0,18.7,18.4,9.3,0.6,94.0
13268,EL PEÑÓN,27.2,73.3,2.3,16.9,59.7,23.9,64.5,5.6,3.4,37.8,31.5,36.4,13.0,0.9,89.9
13300,HATILLO DE LOBA,37.4,78.3,4.3,21.3,57.4,29.8,43.6,9.3,6.7,38.0,36.8,15.9,20.0,1.8,93.2
13430,MAGANGUÉ,20.9,60.5,2.4,4.5,46.5,17.7,46.9,5.4,8.6,21.9,22.3,12.6,17.2,1.1,93.4
13433,MAHATES,28.6,66.6,2.1,14.9,48.4,20.0,51.6,3.7,4.0,15.8,19.6,11.3,16.1,0.8,92.4
13440,MARGARITA,29.0,76.6,2.3,15.5,49.9,19.7,49.4,5.3,2.2,44.0,24.4,27.7,18.1,1.2,95.0
13442,MARÍA LA BAJA,32.9,72.8,5.7,1.2,46.4,16.5,56.6,18.0,17.5,30.1,23.7,45.8,18.4,2.2,94.4
13458,MONTECRISTO,20.9,79.3,6.1,22.8,36.8,15.4,63.8,9.1,7.7,53.8,27.8,60.6,16.9,3.7,88.8
13468,MOMPÓS,24.0,61.5,3.4,1.0,43.2,20.5,42.2,5.4,3.9,28.7,22.4,8.9,17.4,1.3,93.2
13473,MORALES,15.7,74.7,3.6,6.4,45.7,14.7,26.2,6.2,7.6,56.6,24.6,34.7,18.3,1.8,93.4
13490,NOROSÍ,20.3,77.3,3.7,11.2,36.9,15.8,69.5,8.5,13.9,62.2,23.0,57.0,17.6,2.3,92.7
13549,PINILLOS,25.9,73.8,3.0,0.3,58.5,31.0,53.2,6.4,15.0,68.3,25.0,40.0,14.4,1.6,94.8
13580,REGIDOR,21.5,62.0,4.1,4.9,48.8,14.8,67.1,5.5,16.1,20.6,21.9,3.9,15.8,1.1,78.8
13600,RÍO VIEJO,23.3,71.4,2.6,1.9,49.0,18.6,36.6,5.4,16.9,41.8,26.8,28.5,18.0,1.6,90.0
13620,SAN CRISTÓBAL,19.5,63.3,1.5,6.5,53.8,22.5,76.4,3.1,1.9,11.1,15.4,4.1,15.2,0.6,92.5
13647,SAN ESTANISLAO,25.9,62.5,1.9,4.5,43.3,23.1,82.0,4.9,3.4,16.8,17.1,13.5,14.3,0.7,89.9
13650,SAN FERNANDO,30.9,74.3,2.0,2.7,60.1,23.2,41.6,5.2,1.2,48.7,26.9,20.2,15.8,1.4,93.8
